,city,country,population,EU,coastline,latitude,longitude,temperature
0,Elbasan,Albania,2.9,no,yes,41.12,20.08,15.18
1,Andorra,Andorra,0.07,no,no,42.5,1.52,
2,Innsbruck,Austria,8.57,yes,no,47.8525,11.41,4.54
3,Graz,Austria,8.57,yes,no,47.08,14.023333333333333,6.91
4,Linz,Austria,8.57,yes,no,48.32,14.29,6.79
5,Salzburg,Austria,8.57,yes,no,47.81,14.023333333333333,4.62
6,Vienna,Austria,8.57,yes,no,48.2,16.37,7.86
7,Minsk,Belarus,9.48,no,no,52.60999999999999,27.57,5.28
8,Orsha,Belarus,9.48,no,no,52.60999999999999,25.634999999999998,4.93
9,Pinsk,Belarus,9.48,no,no,52.60999999999999,25.634999999999998,6.42
10,Brest,Belarus,9.48,no,no,52.1,23.7,6.73
11,Hrodna,Belarus,9.48,no,no,53.68,25.634999999999998,
12,Mazyr,Belarus,9.48,no,no,52.05,25.634999999999998,6.25
13,Brugge,Belgium,11.37,yes,yes,51.22,3.23,9.65
14,Sarajevo,Bosnia and Herzegovina,3.8,no,yes,43.85,13.38,
15,Plovdiv,Bulgaria,7.1,yes,yes,43.05,26.353333333333335,8.27
16,Burgas,Bulgaria,7.1,yes,yes,42.51,27.47,
17,Pleven,Bulgaria,7.1,yes,yes,43.42,26.353333333333335,10.51
18,Ruse,Bulgaria,7.1,yes,yes,43.85,25.97,
19,Stara Zagora,Bulgaria,7.1,yes,yes,42.42,25.62,10.9
20,Split,Croatia,4.23,yes,yes,45.33,16.47,12.46
21,Rijeka,Croatia,4.23,yes,yes,45.33,14.45,9.27
22,Brno,Czech Republic,10.55,yes,no,49.2,16.61,7.86
23,Ostrava,Czech Republic,10.55,yes,no,49.83,15.54,7.66
24,Prague,Czech Republic,10.55,yes,no,50.08,14.47,8.05
25,Aalborg,Denmark,5.69,yes,yes,55.4,9.92,7.52
26,Odense,Denmark,5.69,yes,yes,55.4,9.92,
27,Tartu,Estonia,1.31,yes,yes,59.43,26.71,
28,Tallinn,Estonia,1.31,yes,yes,59.43,26.71,
29,Helsinki,Finland,5.52,yes,yes,60.18,24.93,
30,Oulu,Finland,5.52,yes,yes,65.0,23.643333333333334,
31,Tampere,Finland,5.52,yes,yes,61.5,23.75,3.59
32,Turku,Finland,5.52,yes,yes,60.45,22.25,
33,Grenoble,France,64.67,yes,yes,47.129999999999995,3.4263636363636363,
34,Limoges,France,64.67,yes,yes,47.129999999999995,1.25,
35,Marseille,France,64.67,yes,yes,47.129999999999995,5.38,14.98
36,Amiens,France,64.67,yes,yes,49.9,2.3,
37,Montpellier,France,64.67,yes,yes,47.129999999999995,3.4263636363636363,11.11
38,Angers,France,64.67,yes,yes,47.48,3.4263636363636363,10.98
39,Bordeaux,France,64.67,yes,yes,44.85,3.4263636363636363,11.87
40,Brest,France,64.67,yes,yes,48.39,-4.5,11.02
41,Reims,France,64.67,yes,yes,47.129999999999995,3.4263636363636363,
42,Caen,France,64.67,yes,yes,49.18,3.4263636363636363,
43,Dijon,France,64.67,yes,yes,47.33,5.03,8.69
44,Le Mans,France,64.67,yes,yes,48.0,3.4263636363636363,10.59
45,Lille,France,64.67,yes,yes,50.65,3.08,9.65
46,Metz,France,64.67,yes,yes,49.12,6.18,8.88
47,Mulhouse,France,64.67,yes,yes,47.75,7.35,6.68
48,Nice,France,64.67,yes,yes,43.72,7.27,8.82
49,Perpignan,France,64.67,yes,yes,42.7,2.9,
50,Toulouse,France,64.67,yes,yes,43.62,1.45,10.25
51,Bonn,Germany,80.68,yes,yes,50.58888888888889,7.08,8.63
52,Augsburg,Germany,80.68,yes,yes,48.35,10.048461538461538,4.54
53,Ingolstadt,Germany,80.68,yes,yes,50.58888888888889,11.45,7.57
54,Berlin,Germany,80.68,yes,yes,52.52,13.4,8.72
55,Bielefeld,Germany,80.68,yes,yes,52.03,8.53,8.78
56,Karlsruhe,Germany,80.68,yes,yes,50.58888888888889,8.4,8.88
57,Bremen,Germany,80.68,yes,yes,53.08,8.8,8.14
58,Chemnitz,Germany,80.68,yes,yes,50.83,12.92,8.05
59,Magdeburg,Germany,80.68,yes,yes,50.58888888888889,11.62,8.26
60,Erfurt,Germany,80.68,yes,yes,50.97,11.03,7.4
61,Frankfurt,Germany,80.68,yes,yes,50.1,8.68,
62,Freiburg,Germany,80.68,yes,yes,48.0,7.87,6.68
63,Heidelberg,Germany,80.68,yes,yes,49.42,8.7,8.47
64,Rostock,Germany,80.68,yes,yes,50.58888888888889,12.15,
65,Athens,Greece,10.92,yes,yes,37.98,23.73,17.41
66,Kalamata,Greece,10.92,yes,yes,37.04,22.11,17.3
67,Patras,Greece,10.92,yes,yes,38.23,21.73,16.9
68,Trikala,Greece,10.92,yes,yes,39.56,21.77,16.0
69,Budapest,Hungary,9.82,yes,no,47.5,19.80333333333333,
70,Debrecen,Hungary,9.82,yes,no,47.53,21.63,8.87
71,Gyor,Hungary,9.82,yes,no,47.7,17.63,9.65
72,Szeged,Hungary,9.82,yes,no,46.25,20.15,10.34
73,Cork,Ireland,4.71,yes,yes,53.3,-8.5,9.41
74,Dublin,Ireland,4.71,yes,yes,53.33,-8.775,8.49
75,Galway,Ireland,4.71,yes,yes,53.27,-9.05,10.0
76,Perugia,Italy,59.8,yes,yes,42.083333333333336,13.423846153846153,
77,Pescara,Italy,59.8,yes,yes,42.083333333333336,14.22,15.13
78,Rome,Italy,59.8,yes,yes,42.083333333333336,12.48,15.1
79,Ancona,Italy,59.8,yes,yes,43.6,13.5,13.52
80,Bari,Italy,59.8,yes,yes,41.11,16.87,15.15
81,Bergamo,Italy,59.8,yes,yes,45.7,9.67,9.12
82,Bologna,Italy,59.8,yes,yes,44.5,13.423846153846153,
83,Catania,Italy,59.8,yes,yes,37.5,15.08,15.04
84,Cosenza,Italy,59.8,yes,yes,39.27,16.29,16.6
85,Foggia,Italy,59.8,yes,yes,41.46,15.56,13.83
86,Genoa,Italy,59.8,yes,yes,44.41,8.93,12.94
87,Messina,Italy,59.8,yes,yes,38.2,15.55,16.54
88,Milan,Italy,59.8,yes,yes,45.47,9.21,6.65
89,Palermo,Italy,59.8,yes,yes,38.13,13.35,17.9
90,Trieste,Italy,59.8,yes,yes,45.65,13.8,11.21
91,Daugavpils,Latvia,1.96,yes,yes,56.95,26.51,5.38
92,Riga,Latvia,1.96,yes,yes,56.95,26.51,
93,Klaipeda,Lithuania,2.85,yes,yes,55.72,25.32,7.0
94,Kaunas,Lithuania,2.85,yes,yes,55.72,25.32,6.05
95,Vilnius,Lithuania,2.85,yes,yes,55.72,25.32,5.38
96,Skopje,Macedonia,2.08,no,no,42.0,21.43,9.36
97,Balti,Moldova,4.06,no,no,47.76,28.86,8.23
98,Chisinau,Moldova,4.06,no,no,47.76,28.86,8.6
99,Podgorica,Montenegro,0.63,no,yes,42.47,19.27,
100,Amsterdam,Netherlands,16.98,yes,yes,52.35,4.92,
101,Groningen,Netherlands,16.98,yes,yes,53.22,6.58,
102,Maastricht,Netherlands,16.98,yes,yes,52.785,5.68,8.63
103,Bodo,Norway,5.27,no,yes,67.25,14.4,4.5
104,Oslo,Norway,5.27,no,yes,59.92,10.75,2.32
105,Stavanger,Norway,5.27,no,yes,58.97,5.68,5.53
106,Trondheim,Norway,5.27,no,yes,63.42,10.42,
107,Bergen,Norway,5.27,no,yes,62.39,10.3125,
108,Bialystok,Poland,38.59,yes,yes,53.15,23.17,6.07
109,Bydgoszcz,Poland,38.59,yes,yes,53.12,19.432,7.14
110,Bytom,Poland,38.59,yes,yes,52.48,19.432,
111,Elblag,Poland,38.59,yes,yes,52.48,19.4,6.68
112,Kielce,Poland,38.59,yes,yes,50.89,20.66,7.29
113,Koszalin,Poland,38.59,yes,yes,54.2,19.432,
114,Poznan,Poland,38.59,yes,yes,52.41,16.9,8.31
115,Wroclaw,Poland,38.59,yes,yes,51.11,17.03,
116,Warsaw,Poland,38.59,yes,yes,52.48,19.432,7.2
117,Braga,Portugal,10.3,yes,yes,38.72,-8.42,
118,Lisbon,Portugal,10.3,yes,yes,38.72,-8.42,15.52
119,Botosani,Romania,19.37,yes,yes,47.75,26.66,8.23
120,Braila,Romania,19.37,yes,yes,45.29,27.97,
121,Bucharest,Romania,19.37,yes,yes,44.43,26.1,
122,Craiova,Romania,19.37,yes,yes,44.33,25.96,
123,Sibiu,Romania,19.37,yes,yes,45.8,24.14,
124,Arad,Romania,19.37,yes,yes,45.519999999999996,21.32,
125,Bacau,Romania,19.37,yes,yes,45.519999999999996,26.92,7.51
126,Baia Mare,Romania,19.37,yes,yes,45.519999999999996,25.96,8.87
127,Constanta,Romania,19.37,yes,yes,45.519999999999996,28.61,11.24
128,Belgrade,Serbia,8.81,no,no,44.82,20.875,
129,Nis,Serbia,8.81,no,no,44.82,21.9,9.36
130,Novi Sad,Serbia,8.81,no,no,44.82,19.85,10.34
131,Bratislava,Slovakia,5.43,yes,no,48.15,17.12,
132,Kosice,Slovakia,5.43,yes,no,48.73,17.12,7.31
133,Ljubljana,Slovenia,2.07,yes,yes,46.06,14.51,
134,Algeciras,Spain,46.06,yes,yes,36.13,-4.036666666666666,17.38
135,Badajoz,Spain,46.06,yes,yes,38.88,-6.97,15.61
136,Barcelona,Spain,46.06,yes,yes,41.38,-4.036666666666666,
137,Bilbao,Spain,46.06,yes,yes,43.25,-2.93,
138,Granada,Spain,46.06,yes,yes,37.16,-3.59,
139,Huelva,Spain,46.06,yes,yes,37.25,-6.93,17.09
140,Marbella,Spain,46.06,yes,yes,36.52,-4.036666666666666,
141,Oviedo,Spain,46.06,yes,yes,43.35,-4.036666666666666,10.85
142,Albacete,Spain,46.06,yes,yes,39.950833333333335,-1.87,
